Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
134169.0081,53.84294653,-2607,1.57E-04,103,0.25,0.01497049,ALB,result,4.881884539,0.012565468,1000950
382.334946,76.59723275,-2833,1.21E-04,9,0.2,0.002056825,DMTN,result,4.251161248,0.004115578,3884
164.8243205,34.70941098,-2914,1.49E-04,19,0.25,0.011067784,MYO1D,result,4.780026543,0.004113633,8200
387.6125368,175.5994518,-2923,1.49E-04,8,0.25,0.006278909,SIM2,result,4.777040478,0.004111392,6080
9287.74182,209.4044581,-2959,1.48E-04,17,0.25,0.004939659,EXT2,result,4.765096218,0.004110186,54968
426.4376672,12.83066164,-2949,1.49E-04,21,0.25,0.0072965,SARM1,result,4.768414068,0.004092876,6258
9468.955776,553.9159733,-2869,1.50E-04,16,0.25,0.006452946,NCAM1,result,4.794956868,0.004070357,73296
305.5487467,42.47605228,-2963,1.48E-04,12,0.25,0.005242443,SPTB,result,4.763769078,0.004664612,4742
55.90480227,116.7784108,-2837,1.51E-04,8,0.25,0.007256886,NDUFA4,result,4.805573988,0.00402654,3898
339.6838012,34.01476538,-2882,1.50E-04,24,0.25,0.010249274,PDCD4,result,4.790643663,0.003963905,8278
42.28526266,8.543846839,-2924,1.49E-04,13,0.25,0.008575814,MDN1,result,4.776708693,0.003873711,812
12.9565592,32.91374614,-2947,1.14E-04,4,0.2,0.001168841,SLC6A2,result,4.085932316,0.003867203,300
727.6904335,32.25178206,-2687,1.55E-04,31,0.25,0.012739272,MAP2,result,4.855341739,0.003863,15794
14.33529191,9.104417504,-2960,1.48E-04,8,0.25,0.006352185,S100A2,result,4.764764433,0.003846526,282
15678.86878,35.81393295,-2537,1.58E-04,115,0.25,0.039320629,TUBA1A,result,4.905109489,0.003840799,278138
264.3618578,31.05956382,-2943,1.49E-04,15,0.25,0.005726926,LAMP1,result,4.770404778,0.003801155,5928
139.0602076,14.00994008,-2845,1.51E-04,20,0.25,0.012433681,MYL12B,result,4.802919708,0.003762225,2610
709.7791235,96.3303043,-2898,1.16E-04,11,0.2,0.002059459,DRD3,result,4.148307896,0.003761318,7608
0,0,-2986,1.10E-04,3,0.2,0.00106892,EFCAB6,result,3.99203716,0.003730171,0
800.5355542,86.23210499,-2920,1.49E-04,18,0.25,0.008398641,LIMS1,result,4.778035833,0.003723079,17140
3.276190476,2.827682453,-3008,1.47E-04,4,0.25,0.003821724,CRLS1,result,4.748838752,0.00371981,10
74.37878971,27.61932376,-2954,1.12E-04,7,0.2,9.70E-04,BDKRB2,result,4.030856005,0.003681608,1062
978.710063,304.479165,-2956,1.49E-04,8,0.25,0.005112334,ACE,result,4.766091573,0.035909647,14240
411.3175924,12.41386306,-2854,1.51E-04,34,0.25,0.016855417,PGAM5,result,4.799933643,0.003675275,12790
694.8008444,31.85091959,-2829,1.51E-04,33,0.25,0.015707952,ALYREF,result,4.808228268,0.003656443,9622
61927.80992,39.95594399,-2691,1.55E-04,115,0.25,0.032701696,RAD21,result,4.854014599,0.007722509,661584
18.15522489,61.16326462,-2825,1.22E-04,5,0.2,0.002210041,KIAA1191,result,4.269409423,0.0036503,702
1529.969085,167.0240602,-2954,1.49E-04,15,0.25,0.006859756,RHOT2,result,4.766755143,0.003618912,24050
24.93268195,6.243358869,-2978,1.48E-04,8,0.25,0.005393499,ATP5L,result,4.758792303,0.003616965,274
4174.643434,93.2996705,-2763,1.53E-04,24,0.25,0.011072617,CDK5R1,result,4.830126078,0.00360537,49962
726.9651342,47.59013788,-2811,1.25E-04,19,0.2,0.004804526,MAPK11,result,4.349701393,0.00358864,14098
13.83905626,6.845807021,-2959,1.48E-04,8,0.25,0.005581531,SLC11A2,result,4.765096218,0.00358501,232
17.07640388,7.456848773,-2969,1.48E-04,11,0.25,0.006096507,ESRRB,result,4.761778368,0.003523932,330
651.2030007,55.37426603,-2798,1.52E-04,21,0.25,0.013303261,PACRG,result,4.818513603,0.003509264,10828
783.0133443,6.699386424,-2907,1.18E-04,37,0.2,0.00423374,ATP6V1B1,result,4.187126742,0.003474701,5742
198.0163903,24.90936945,-2937,1.49E-04,13,0.25,0.005536445,SCARB2,result,4.772395488,0.009356191,5572
23.05062252,46.03238632,-2827,1.24E-04,7,0.2,0.003157729,ADAP2,result,4.320172528,0.003464416,1268
1099.476512,57.02549102,-2792,1.22E-04,22,0.2,0.003259022,DAB1,result,4.289980093,0.003441705,16420
4505.881528,403.3336039,-2980,1.48E-04,10,0.25,0.004705156,MFN2,result,4.758128733,0.003418086,28950
1575.00289,28.13778018,-2797,1.52E-04,26,0.25,0.008315117,ARFGAP1,result,4.818845388,0.003377111,16846
1.916050091,3.411664774,-2944,1.16E-04,4,0.2,0.001524543,HSPB6,result,4.127405441,0.00335089,80
11396.7645,101.3163235,-2767,1.53E-04,40,0.25,0.013885794,CAMK2A,result,4.828798938,0.00327623,119172
303.7071645,257.0680907,-2938,1.49E-04,8,0.25,0.005720342,ACTG2,result,4.772063703,0.003261291,6122
144.1941547,308.2442468,-2946,1.49E-04,5,0.25,0.004442577,CDC42SE1,result,4.769409423,0.003249971,4432
588.1064493,15.37793655,-2825,1.51E-04,30,0.25,0.009512447,TOMM40,result,4.809555408,0.003243467,7646
50717.48599,41.26039359,-2542,1.58E-04,119,0.25,0.019132447,DLG4,result,4.903450564,0.003238422,605390
4132.920512,75.60714047,-2714,1.54E-04,44,0.25,0.019742068,UCHL1,result,4.846383543,0.003215722,72616
8516.970519,144.1957319,-2773,1.53E-04,31,0.25,0.014311965,ST13,result,4.826808228,0.003181108,89870
509.4314676,15.96876259,-2727,1.54E-04,40,0.25,0.018437283,AIMP2,result,4.842070338,0.00317795,10740
2882.822742,75.47744633,-2925,1.49E-04,24,0.25,0.007656577,PAWR,result,4.776376908,0.003175017,44460
4831.559276,54.81453624,-2843,1.51E-04,43,0.25,0.013539282,OGT,result,4.803583278,0.003160048,84862
0,0,-3013,1.06E-04,1,0.2,1.69E-04,MMP25,result,3.880225614,0.003141421,0
4095.044053,21.7364123,-2636,1.56E-04,92,0.25,0.039951905,DNAJA1,result,4.872262774,0.00307986,88698
877.6373614,15.11370044,-2724,1.54E-04,43,0.25,0.016215029,PPP2R4,result,4.843065693,0.003054552,17476
163.561183,15.61498097,-2943,1.49E-04,18,0.25,0.0070032,UBE2J2,result,4.770404778,0.003028931,1676
4359.950965,19.17538107,-2663,1.55E-04,80,0.25,0.021555144,ITCH,result,4.863304579,0.003018472,73780
288.9085677,83.69166723,-2937,1.49E-04,11,0.25,0.00548812,LITAF,result,4.772395488,0.037734983,8502
6027.452856,32.81209582,-2788,1.52E-04,66,0.25,0.017084066,EPB41,result,4.821831453,0.003018431,81638
250.8767128,10.32099561,-2887,1.50E-04,25,0.25,0.009630053,EIF4EBP1,result,4.788984738,0.003004649,3450
