gene name,Closeness unDir,Degree unDir,Eccentricity unDir,Radiality unDir
USP1,0.000287026,651,0.333333333,3.270109235
DBF4,0.000280426,593,0.5,3.22939424
HSP90AB1,0.00026476,281,0.333333333,3.124627607
EED,0.000276319,455,0.333333333,3.203078451
ORC2,0.000279642,542,0.333333333,3.224428997
TRAF1,0.00026178,255,0.333333333,3.103277061
FEZ1,0.000257003,141,0.333333333,3.068023833
EPHA2,0.000262192,234,0.333333333,3.106256207
CSE1L,0.000286862,645,0.333333333,3.269116187
FLI1,0.000281373,557,0.333333333,3.235352532
TRADD,0.000259471,222,0.333333333,3.086395233
MAP3K3,0.00027571,455,0.333333333,3.199106256
JUNB,0.000256805,171,0.333333333,3.06653426
PKNOX1,0.000258465,169,0.333333333,3.078947368
ARHGAP11A,0.000268817,325,0.333333333,3.152929494
WIPF1,0.000272628,421,0.333333333,3.178748759
RFC2,0.000271076,413,0.333333333,3.168321748
TMEM106C,0.000265322,291,0.333333333,3.128599801
YTHDF3,0.000266454,279,0.333333333,3.136544191
ABI1,0.000261575,224,0.333333333,3.101787488
HDAC1,0.000289184,750,0.333333333,3.283018868
UBE2C,0.000275482,493,0.333333333,3.197616683
TRAPPC8,0.000276855,451,0.333333333,3.206554121
BTK,0.000273299,454,0.333333333,3.183217478
COPS6,0.000259538,194,0.333333333,3.086891758
TEX30,0.000256871,156,0.333333333,3.067030785
JUND,0.000258131,179,0.333333333,3.076464747
SIK1,0.000266951,310,0.333333333,3.140019861
DHCR24,0.000258933,172,0.333333333,3.082423039
RPP30,0.000268601,341,0.333333333,3.151439921
UBXN2B,0.000256082,135,0.333333333,3.061072493
POLR2B,0.000293858,730,0.333333333,3.310327706
BID,0.000262329,253,0.333333333,3.107249255
CDKN1A,0.000274725,464,0.333333333,3.19265144
KMT2A,0.000274048,423,0.333333333,3.188182721
RSBN1,0.000270783,364,0.333333333,3.16633565
PTN,0.000264131,250,0.333333333,3.120158888
KDM5A,0.000259134,185,0.333333333,3.083912612
TBP,0.000269906,371,0.333333333,3.160377358
IGF1R,0.00027571,455,0.333333333,3.199106256
BRSK2,0.00026295,240,0.333333333,3.111717974
C6orf62,0.000257599,162,0.333333333,3.072492552
CDKN1B,0.000270197,384,0.333333333,3.162363456
FAM208A,0.000263505,257,0.333333333,3.115690169
BIK,0.000259538,195,0.333333333,3.086891758
SP110,0.000263574,247,0.333333333,3.116186693
HSP90AA1,0.000282566,576,0.333333333,3.242800397
RB1,0.000278552,574,0.333333333,3.217477656
TYR,0.000262398,232,0.333333333,3.10774578
VAV1,0.000269469,383,0.333333333,3.157398213
LRRC37A3,0.000251953,73,0.333333333,3.029294935
CCNH,0.000266028,314,0.5,3.133565045
ATRX,0.000265816,289,0.333333333,3.132075472
CNTRL,0.00026448,276,0.333333333,3.122641509
SMARCE1,0.000269107,371,0.333333333,3.154915591
MAFK,0.000257069,154,0.333333333,3.068520357
RHEB,0.000257467,158,0.333333333,3.071499503
HDAC2,0.000285144,627,0.333333333,3.258689176
GADD45G,0.000258198,179,0.333333333,3.076961271
RRP7A,0.000255885,141,0.333333333,3.05958292
CUL2,0.000271592,394,0.333333333,3.171797418
FES,0.000268962,357,0.333333333,3.153922542
TNF,0.00026462,296,0.333333333,3.123634558
KIT,0.000271003,391,0.333333333,3.167825223
EGFR,0.000284252,641,0.333333333,3.253227408
KARS,0.000269251,345,0.333333333,3.15590864
ASF1A,0.000266028,298,0.333333333,3.133565045
CBFB,0.000282885,580,0.333333333,3.244786495
PIK3R2,0.000265675,313,0.333333333,3.131082423
CDC25B,0.000270563,363,0.333333333,3.164846077
DDX3X,0.000263089,251,0.333333333,3.112711023
TMPRSS2,0.000261575,229,0.333333333,3.101787488
ASH2L,0.00027049,349,0.333333333,3.164349553
NR5A2,0.00026441,262,0.333333333,3.122144985
RPL5,0.000258465,180,0.333333333,3.078947368
MRC1,0.000255754,128,0.333333333,3.058589871
MAP3K7,0.000295508,794,0.333333333,3.319761668
IRS4,0.000256608,141,0.333333333,3.065044687
RBBP6,0.000270929,358,0.5,3.167328699
ERCC5,0.000276167,444,0.333333333,3.202085402
TYK2,0.000273,418,0.333333333,3.18123138
TP53BP2,0.000275255,423,0.333333333,3.19612711
RCOR1,0.000271223,371,0.333333333,3.169314796
RNF139,0.000269179,338,0.333333333,3.155412115
SRR,0.000256674,141,0.333333333,3.065541212
AKT3,0.00027049,364,0.333333333,3.164349553
DUSP5,0.000262881,235,0.333333333,3.11122145
RNASEH2B,0.000277316,472,0.333333333,3.209533267
EGR1,0.00026824,346,0.333333333,3.148957299
MBNL2,0.000259808,187,0.333333333,3.088877855
GAB1,0.000264901,311,0.333333333,3.125620655
APOBEC3G,0.000258264,168,0.333333333,3.077457795
MGEA5,0.000262743,233,0.333333333,3.110228401
SMARCD1,0.000267237,321,0.5,3.142005958
ZNF217,0.00028401,558,0.333333333,3.251737835
CD27,0.000267881,357,0.333333333,3.146474677
ELF1,0.000273598,397,0.333333333,3.185203575
PARP1,0.000285959,616,0.333333333,3.263654419
TFAP2A,0.000258131,171,0.333333333,3.076464747
ITGB3BP,0.000281532,589,0.5,3.236345581
AFP,0.000257666,155,0.333333333,3.072989076
SMCHD1,0.000262674,230,0.333333333,3.109731877
RECQL5,0.000257533,156,0.333333333,3.071996028
SUZ12,0.000278009,486,0.333333333,3.214001986
NPC1,0.000254453,111,0.333333333,3.048659384
AKAP8L,0.000261712,219,0.333333333,3.102780536
KIN,0.000264901,265,0.333333333,3.125620655
SMC1A,0.000269542,358,0.333333333,3.157894737
UPF1,0.000263644,254,0.333333333,3.116683217
MS4A1,0.000267738,358,0.333333333,3.145481629
MED13,0.000265322,285,0.333333333,3.128599801
KLKB1,0.000254001,103,0.333333333,3.045183714
AATF,0.000277085,457,0.333333333,3.208043694
CUL5,0.000271665,390,0.333333333,3.172293942
DNAJC9,0.000276396,432,0.5,3.203574975
SCAMP1,0.000259875,194,0.333333333,3.089374379
E2F3,0.000273598,440,0.5,3.185203575
ACAP2,0.000275103,413,0.333333333,3.195134062
BCL3,0.000261917,232,0.333333333,3.104270109
HMGA1,0.000269542,376,0.333333333,3.157894737
DDX11,0.000263783,245,0.333333333,3.117676266
SRSF10,0.000268889,359,0.333333333,3.153426018
UBE4B,0.000263992,246,0.333333333,3.119165839
UTP18,0.000268168,330,0.333333333,3.148460775
H2AFZ,0.000288767,726,0.5,3.280536246
MORC3,0.000272926,381,0.333333333,3.180734856
NPEPPS,0.000260281,201,0.333333333,3.092353525
CDKN2C,0.000267237,316,0.333333333,3.142005958
ACTL6A,0.000289436,757,0.333333333,3.284508441
IL5,0.000258665,178,0.333333333,3.080436941
RASA2,0.000272554,385,0.333333333,3.178252234
BHLHE40,0.000273823,408,0.333333333,3.186693148
CBX1,0.000271887,381,0.333333333,3.173783515
KRAS,0.000268601,338,0.333333333,3.151439921
GAB2,0.000275558,477,0.333333333,3.198113208
OXSR1,0.00027571,436,0.333333333,3.199106256
ACACB,0.000259808,184,0.333333333,3.088877855
TRIM33,0.000272183,382,0.333333333,3.175769613
MAP2K2,0.00026688,326,0.333333333,3.139523337
ZNF136,0.000265745,285,0.333333333,3.131578947
ASXL1,0.000265957,283,0.333333333,3.13306852
P2RX4,0.000262055,222,0.333333333,3.105263158
EGF,0.00026137,222,0.333333333,3.100297915
MSX1,0.000267094,297,0.333333333,3.14101291
BLMH,0.000278009,488,0.333333333,3.214001986
NFYB,0.000266312,289,0.333333333,3.135551142
ORC1,0.000273149,455,0.333333333,3.182224429
NR0B2,0.0002574,164,0.333333333,3.071002979
GAPVD1,0.000269614,336,0.333333333,3.158391261
TCF4,0.00028547,582,0.333333333,3.260675273
DDIT4,0.000259538,185,0.333333333,3.086891758
IL7,0.000269397,361,0.333333333,3.156901688
KMT2D,0.000253807,104,0.333333333,3.043694141
HAUS5,0.000256937,144,0.333333333,3.067527309
KMT2B,0.0002574,153,0.333333333,3.071002979
RRAS2,0.000272702,395,0.333333333,3.179245283
TMEM97,0.000260688,198,0.333333333,3.095332671
ADNP,0.000280662,509,0.333333333,3.230883813
MED13L,0.000270197,355,0.333333333,3.162363456
PVRL3,0.000264831,266,0.333333333,3.125124131
IQGAP1,0.000272405,394,0.333333333,3.177259186
HIRIP3,0.00026137,208,0.333333333,3.100297915
ADD3,0.000273973,406,0.333333333,3.187686197
ACACA,0.000267094,305,0.333333333,3.14101291
PAPD7,0.000273598,394,0.333333333,3.185203575
WBP4,0.000263019,245,0.333333333,3.112214499
POLD1,0.000274123,430,0.333333333,3.188679245
SLK,0.000265111,272,0.333333333,3.127110228
AIM2,0.00026062,227,0.333333333,3.094836147
ERCC3,0.000271518,385,0.333333333,3.171300894
NFATC3,0.000263922,255,0.333333333,3.118669315
TMPO,0.000286041,608,0.333333333,3.264150943
ACTR2,0.000271003,384,0.333333333,3.167825223
KIAA0922,0.00027049,361,0.333333333,3.164349553
KDM6A,0.000258331,169,0.333333333,3.07795432
PRPF4B,0.000272109,395,0.333333333,3.175273088
SUGP2,0.000260078,196,0.333333333,3.090863952
INPP5E,0.000259336,178,0.333333333,3.085402185
ELK1,0.000259471,195,0.333333333,3.086395233
SETDB1,0.000271076,380,0.333333333,3.168321748
SOS1,0.000279096,513,0.333333333,3.220953327
IRF2,0.000284576,581,0.5,3.255213505
ATN1,0.000254001,98,0.333333333,3.045183714
TNFRSF10D,0.000255624,128,0.333333333,3.057596822
BAX,0.000267451,318,0.333333333,3.143495531
PLCE1,0.000252143,82,0.333333333,3.030784508
RAD17,0.000262329,253,0.333333333,3.107249255
FLT1,0.000270856,375,0.333333333,3.166832175
TRIO,0.000273299,401,0.333333333,3.183217478
TRDMT1,0.000258799,178,0.333333333,3.08142999
EFCAB14,0.000263644,251,0.333333333,3.116683217
PDPK1,0.000273373,437,0.333333333,3.183714002
CSK,0.000273748,445,0.333333333,3.186196624
CHD3,0.000266667,308,0.333333333,3.138033764
IRS1,0.000269107,371,0.333333333,3.154915591
TRAF6,0.000267594,343,0.333333333,3.14448858
PIGR,0.000259067,174,0.333333333,3.083416087
POU2AF1,0.00027027,367,0.333333333,3.16285998
TNFRSF1A,0.000270709,409,0.333333333,3.165839126
CEP135,0.000260213,207,0.333333333,3.091857001
VIM,0.000272405,398,0.5,3.177259186
DENND4A,0.000261575,211,0.333333333,3.101787488
GABPA,0.000272035,372,0.333333333,3.174776564
NR5A1,0.000255689,132,0.333333333,3.058093347
NELFB,0.00026455,259,0.333333333,3.123138034
NFATC2IP,0.00026455,260,0.333333333,3.123138034
CDC34,0.000254001,105,0.333333333,3.045183714
SRF,0.000258198,174,0.333333333,3.076961271
ZC3H13,0.000263435,248,0.333333333,3.115193644
MTAP,0.000263713,247,0.333333333,3.117179742
SEPT11,0.000274424,417,0.333333333,3.190665343
GADD45B,0.0002574,171,0.333333333,3.071002979
MAP4K2,0.000264131,266,0.333333333,3.120158888
TP53TG5,0.000236016,21,0.333333333,2.896226415
ADSS,0.000269906,349,0.333333333,3.160377358
RASA1,0.000278242,499,0.333333333,3.215491559
CD2,0.000263922,284,0.333333333,3.118669315
RBL2,0.000272035,402,0.333333333,3.174776564
DHX8,0.00026976,360,0.333333333,3.15938431
PKM,0.00026462,265,0.333333333,3.123634558
LPAR2,0.000258933,172,0.333333333,3.082423039
EPS15,0.000286451,623,0.333333333,3.266633565
STAT3,0.000278319,572,0.333333333,3.215988083
PRKAG1,0.000263366,253,0.333333333,3.11469712
DDX52,0.000261165,209,0.333333333,3.098808342
NIPBL,0.000274952,441,0.333333333,3.194141013
CSTF3,0.000275938,459,0.333333333,3.200595829
CEP152,0.000269107,328,0.333333333,3.154915591
CTNNAL1,0.000269614,337,0.333333333,3.158391261
IL1R1,0.000259202,199,0.333333333,3.084409136
RAD1,0.000263435,265,0.333333333,3.115193644
PPM1A,0.000267165,307,0.333333333,3.141509434
PLCB3,0.000258598,169,0.333333333,3.079940417
EPCAM,0.000259875,190,0.333333333,3.089374379
