gene name,Degree unDir,EigenVector unDir
SORD,222,0.013100574714303632
AGAP2,213,0.014274836754929791
MTHFS,501,0.032184914562880314
STAR,376,0.021976942633328268
SULT1A1,253,0.013954864091635138
E2F2,384,0.02411864949073206
SLC8A1,519,0.033978818523597104
SYT1,663,0.039779081820599846
SEC31A,420,0.027633457026158884
TBCD,231,0.01490467956703072
CA2,311,0.01976602994523458
KIF5A,208,0.014285219156339452
SCG5,358,0.02260095455966522
SUPT6H,246,0.015415221617590858
KATNA1,139,0.009506963402224296
GPR15,175,0.0104289452501015
C6,431,0.026203457570673303
MCC,299,0.019421487681170916
TMEM187,117,0.005537533774330107
SLIT1,264,0.017656942582885127
MDFI,199,0.011352520454818821
ANXA10,330,0.02001957690787068
GPM6A,616,0.038922790370315735
EDN2,396,0.023494587828599322
NELL1,516,0.034860035555831566
APOF,194,0.010909161002738008
TYROBP,407,0.018901852866625428
PPIA,139,0.007552696915370729
SSX5,92,0.005021526909734634
ALPK3,177,0.010939141232107995
TENM1,280,0.018735630594125436
YAP1,275,0.017635324683003016
ARMC6,172,0.009232300381830144
HINT1,299,0.01868565638810544
YWHAQ,328,0.019841624322551234
RAB3B,419,0.028308382717401447
CHRNB2,299,0.017646838702108304
YWHAE,297,0.01705132534102194
KRIT1,82,0.005187358862792049
KRT32,208,0.011895156830317043
URM1,159,0.009214214685976586
NKX2-8,168,0.009305140381157175
KRT15,303,0.019585713997276134
BRS3,403,0.02581589759818574
GABRD,204,0.011533642160492057
CYBB,247,0.015976156002828888
RALGDS,185,0.010784903558651436
PRKACB,329,0.02090005592983888
COL4A4,110,0.0071343055257168525
ALG13,291,0.02041122766315147
CTSG,292,0.014821248355157942
FCER1A,268,0.017233067080256088
TK2,171,0.01074520170307521
NKG7,324,0.016092557302244563
NEDD8,291,0.014533156034346538
DGAT1,236,0.011925478632295046
CDC42,200,0.012714330942270211
MVP,236,0.012029624824258102
USP15,414,0.026953500899384437
PTGER1,158,0.0103370682864971
SPAG7,166,0.008837507498877423
SLC22A24,277,0.015918389043496062
GRB2,473,0.02672155710702986
TRIM58,151,0.009672275787181207
GCG,280,0.01733610134847457
ARSA,296,0.016799714541120607
PPM1H,61,0.0037910054515172546
NOL4,350,0.02371370529394529
HPGD,316,0.019816462387256425
SDC4,236,0.014247908860059286
PTH1R,301,0.017595706024097785
RAC1,167,0.009886356284086056
MAP3K11,324,0.018249218371140342
SRGN,292,0.013314346139506467
C1orf95,78,0.004603479077104338
MAST2,139,0.00645902640578155
