Betweenness unDir,Bridging unDir,Centroid unDir,Closeness unDir,Degree unDir,Eccentricity unDir,EigenVector unDir,gene name,node type,Radiality unDir,score,Stress unDir
3067.028664,9.205252997,-1539,1.74E-04,280,0.333333333,0.015716865,SERPINB10,result,3.089250166,0.001227978,95752
487.6046731,9.303127783,-1711,1.69E-04,112,0.333333333,0.007292216,RALYL,result,3.03251493,0.001219855,14792
4154.502567,8.196745807,-1481,1.75E-04,361,0.333333333,0.020816101,TUBA1A,result,3.108825481,0.001210762,130602
2462.961012,9.031763779,-1569,1.73E-04,256,0.333333333,0.015295283,PSEN1,result,3.079628401,0.001208898,72730
3006.124478,8.931153388,-1526,1.74E-04,295,0.333333333,0.018241383,IRS4,result,3.093895156,0.001205876,98940
1487.514534,9.004108468,-1612,1.71E-04,208,0.333333333,0.012459008,KCNJ5,result,3.063702721,0.008170654,45912
11416.49944,8.384082677,-1253,1.83E-04,599,0.5,0.036423679,RELN,result,3.184472462,0.002174813,353690
1831.686597,9.403159515,-1594,1.72E-04,224,0.333333333,0.014768847,CASR,result,3.071333776,0.002107503,60222
2013.853242,10.30361782,-1598,1.72E-04,219,0.333333333,0.012588717,NOS3,result,3.070006636,0.001968621,55472
2580.365031,7.524979369,-1533,1.74E-04,306,0.333333333,0.018448367,DLG4,result,3.091572661,0.001204264,81182
4325.29474,7.968737815,-1456,1.76E-04,376,0.333333333,0.023811586,RB1CC1,result,3.117120106,0.001198458,137468
8558.756933,8.408917867,-1317,1.81E-04,524,0.333333333,0.031991599,ATP6V1E1,result,3.163238222,0.001190604,273608
1093.970107,7.864276898,-1681,1.69E-04,172,0.333333333,0.008380957,UBE2M,result,3.04246848,0.001181149,33954
5763.597268,8.85656432,-1451,1.76E-04,393,0.333333333,0.020312434,ILK,result,3.118779031,0.001175023,151294
9611.156207,8.103681989,-1250,1.83E-04,583,0.5,0.038694397,ELOVL6,result,3.185467817,0.00117145,329252
1266.877743,8.099361952,-1630,1.71E-04,203,0.333333333,0.011886587,FADS1,result,3.059389516,0.001159783,40028
1618.96648,7.908811533,-1612,1.71E-04,227,0.333333333,0.011866756,DHCR7,result,3.065361646,0.00161676,45028
2375.874914,5.954098509,-1515,1.74E-04,338,0.333333333,0.018651855,APOC3,result,3.097544791,0.001159017,83612
9476.247432,8.47321949,-1270,1.82E-04,556,0.5,0.036578474,NTRK3,result,3.178832117,0.003232495,308072
1176.507757,8.783853554,-1623,1.71E-04,194,0.333333333,0.013175933,SIM2,result,3.061712011,0.001437187,42538
10285.65791,8.590337951,-1259,1.83E-04,570,0.333333333,0.037756552,FOXG1,result,3.182481752,0.001239056,341390
2242.939326,9.711827524,-1591,1.72E-04,233,0.333333333,0.013712579,KCNJ9,result,3.070006636,0.001152559,69982
7796.809524,8.723754869,-1348,1.80E-04,488,0.5,0.030528392,GSK3A,result,3.152952887,0.001151943,243478
1214.627622,8.951335276,-1641,1.71E-04,185,0.333333333,0.011051564,DNAJB1,result,3.055739881,0.001148638,38414
4429.8478,10.93132329,-1523,1.74E-04,297,0.333333333,0.015542682,ABHD14A,result,3.094226941,0.001139559,128966
2494.73348,11.30017424,-1595,1.72E-04,222,0.333333333,0.011671889,ATP6V1B1,result,3.067684141,0.002126001,59196
5846.674443,8.274729063,-1423,1.77E-04,422,0.333333333,0.024790235,SNCB,result,3.127405441,0.001191186,174428
305.5383882,10.94418241,-1791,1.66E-04,76,0.333333333,0.004412754,POLR1C,result,3.00597213,0.001137614,9772
10453.68425,7.877353913,-1263,1.82E-04,604,0.333333333,0.035074424,SOD1,result,3.181154612,0.001137138,321926
1505.704781,8.121392165,-1606,1.72E-04,224,0.333333333,0.013633052,SAP18,result,3.067352356,0.001899505,46696
1375.617691,9.740608601,-1647,1.70E-04,182,0.333333333,0.010591335,TOR1A,result,3.053749171,0.001181761,39690
1886.691882,9.347054305,-1592,1.72E-04,227,0.333333333,0.013558687,BCAS1,result,3.071665561,0.00113639,60252
838.4017855,9.302688947,-1683,1.69E-04,147,0.333333333,0.0088899,IFIT5,result,3.04180491,0.001118514,27984
2413.390372,9.681110101,-1576,1.73E-04,246,0.333333333,0.014396317,IFIT3,result,3.076974121,0.001221872,70802
4898.083187,9.564386807,-1457,1.76E-04,366,0.333333333,0.023005755,SHOX,result,3.116124751,0.001116486,188414
6073.81904,7.363214156,-1350,1.80E-04,486,0.333333333,0.032741389,COPS8,result,3.152289317,0.001110206,215120
1792.690927,8.290957172,-1586,1.72E-04,240,0.333333333,0.015138238,MFN2,result,3.073988056,0.001103337,54230
7319.368475,8.018464441,-1355,1.79E-04,491,0.333333333,0.030051918,YWHAH,result,3.150630392,0.001102321,225500
5737.405442,7.257368825,-1371,1.79E-04,480,0.5,0.030780865,EYA1,result,3.145321831,0.001101048,204080
4541.591014,8.109328378,-1457,1.76E-04,394,0.333333333,0.022747732,ASGR2,result,3.116124751,0.001100803,141380
6869.883299,7.166637953,-1336,1.80E-04,527,0.333333333,0.03136657,PROC,result,3.156934307,0.001094489,234654
8902.197135,5.873923157,-1283,1.82E-04,643,0.333333333,0.033920071,SLC2A2,result,3.174518912,0.001088142,324244
1262.222512,8.352112665,-1617,1.71E-04,210,0.333333333,0.013044739,DOK1,result,3.062375581,0.001088078,43262
3796.927059,6.042729039,-1457,1.76E-04,412,0.333333333,0.02160502,KLKB1,result,3.116124751,0.001084905,127180
1788.108626,7.178471389,-1584,1.72E-04,258,0.333333333,0.013595493,GNMT,result,3.073324486,0.001081075,55132
3214.417283,8.90533317,-1520,1.74E-04,309,0.333333333,0.018510849,SIAH2,result,3.095885866,0.001073607,95836
1136.423559,8.327665479,-1631,1.71E-04,191,0.333333333,0.012328675,ENSA,result,3.059057731,0.001902947,38166
1506.297773,6.999239733,-1583,1.72E-04,245,0.333333333,0.015312375,HTR2C,result,3.071001991,0.001071457,50120
11135.49864,7.649092482,-1273,1.82E-04,608,0.333333333,0.032897026,PON1*KDG*,query,3.177504977,0.842543794,343158
2473.57412,10.47213405,-1587,1.72E-04,227,0.333333333,0.012535061,ARR3,result,3.073656271,0.001067069,73498
7287.340088,7.364158856,-1354,1.79E-04,511,0.5,0.028932011,HAAO,result,3.150962177,0.001064668,231738
628.9635711,10.8609086,-1719,1.68E-04,117,0.333333333,0.006269613,MKL1,result,3.02986065,0.001064272,19514
2382.505757,7.331628717,-1508,1.75E-04,312,0.333333333,0.021978477,RPS6KA5,result,3.099867286,0.001062743,88562
1254.725482,7.953358125,-1636,1.71E-04,197,0.333333333,0.011183187,CYCS,result,3.057398806,0.001061015,36858
3824.219048,8.794518075,-1493,1.75E-04,339,0.333333333,0.019821152,PRKCD,result,3.104844061,0.001060512,114022
1210.025569,8.498039722,-1660,1.70E-04,178,0.333333333,0.008656804,PKN1,result,3.049435965,0.001055216,32600
4805.177499,7.343990074,-1408,1.78E-04,442,0.333333333,0.028316545,CBS,result,3.133045786,0.001044879,169954
665.1349088,8.765541276,-1681,1.69E-04,140,0.333333333,0.00837963,ENTPD2,result,3.034837425,0.001041468,20026
1947.018848,8.602683614,-1586,1.72E-04,242,0.333333333,0.014700839,NDP,result,3.072660916,0.001038587,62706
6878.745247,8.018534737,-1391,1.78E-04,469,0.333333333,0.02561568,AKR1C4,result,3.138022561,0.001035778,244790
2190.576846,8.393431319,-1559,1.73E-04,264,0.333333333,0.015872454,RGN,result,3.081619111,0.001035743,65380
3174.342155,7.719337489,-1470,1.76E-04,352,0.333333333,0.024445326,AASS,result,3.112475116,0.001083119,111796
5025.775602,8.324471278,-1432,1.77E-04,406,0.333333333,0.024119318,ALDH2,result,3.125082946,0.001035682,161658
3385.345522,7.751590446,-1468,1.76E-04,360,0.333333333,0.024718292,MYO1B,result,3.113138686,0.001376041,124454
3114.292443,8.961576429,-1542,1.74E-04,293,0.333333333,0.016774548,SEPT4,result,3.088586596,0.001032339,87344
1067.903668,8.902960716,-1647,1.70E-04,176,0.333333333,0.011394894,PRPS1,result,3.053749171,0.001030836,34656
5038.620223,8.391571407,-1450,1.76E-04,395,0.333333333,0.022906571,C9,result,3.119110816,0.001029256,153536
703.5948204,8.17097388,-1672,1.70E-04,155,0.333333333,0.010653252,OGT,result,3.045454545,0.001024115,23144
3643.439144,8.304067257,-1483,1.75E-04,340,0.333333333,0.021628932,DRP2,result,3.107830126,0.001023112,125416
4233.017974,9.152971568,-1478,1.75E-04,347,0.333333333,0.021293001,NFIX,result,3.109157266,0.001017073,126318
1198.320576,6.832539486,-1606,1.71E-04,231,0.333333333,0.014066597,CHI3L1,result,3.065029861,0.001016808,42312
