gene name,Closeness unDir,Eccentricity unDir,Radiality unDir
GRB2,0.000178603,0.333333333,3.142335766
TRIM58,0.000169405,0.333333333,3.041473125
GCG,0.000173461,0.333333333,3.087259456
ARSA,0.000174034,0.333333333,3.093563371
PPM1H,0.000164474,0.333333333,2.98274718
NOL4,0.000175377,0.333333333,3.108161911
HPGD,0.000174429,0.333333333,3.097876576
SDC4,0.000172295,0.333333333,3.074319841
PTH1R,0.000174307,0.333333333,3.096549436
RAC1,0.000169808,0.333333333,3.046118115
MAP3K11,0.000174886,0.333333333,3.102853351
SRGN,0.000172295,0.333333333,3.074319841
C1orf95,0.000166334,0.333333333,3.00530856
MAST2,0.000168805,0.333333333,3.03450564
UBE2E1,0.000173883,0.333333333,3.091904446
SYT5,0.000170474,0.333333333,3.053749171
ALDH6A1,0.000169722,0.333333333,3.04512276
ATP5L,0.000170648,0.333333333,3.055739881
HAX1,0.000173551,0.333333333,3.088254811
PNPLA6,0.000172444,0.333333333,3.075978766
BRD3,0.000168634,0.333333333,3.03251493
FGF8,0.000173461,0.333333333,3.087259456
DNAH7,0.000172058,0.333333333,3.071665561
PMAIP1,0.000170358,0.333333333,3.052422031
HMOX1,0.00017191,0.333333333,3.070006636
RSAD2,0.000168067,0.333333333,3.02587923
ZZEF1,0.000172325,0.333333333,3.074651626
APAF1,0.000175623,0.333333333,3.110816191
STK3,0.000173792,0.333333333,3.090909091
SLC4A4,0.000180278,0.333333333,3.159588587
MLLT11,0.000170794,0.333333333,3.057398806
ATP6V1B2,0.000172741,0.333333333,3.079296616
AKR7A3,0.000170242,0.333333333,3.051094891
CRTAP,0.000176243,0.333333333,3.117451891
TNNC2,0.000170213,0.333333333,3.050763106
PARVB,0.000172176,0.333333333,3.072992701
CYHR1,0.000168124,0.333333333,3.0265428
GEM,0.000170561,0.333333333,3.054744526
IGBP1,0.000172444,0.333333333,3.075978766
SERPINB7,0.000170387,0.333333333,3.052753816
APBA1,0.000175408,0.333333333,3.108493696
CCDC86,0.000174581,0.333333333,3.099535501
CRP,0.000175377,0.333333333,3.108161911
ATXN7L1,0.000176741,0.333333333,3.122760451
KRT1,0.000173913,0.333333333,3.092236231
CCNA1,0.000173551,0.333333333,3.088254811
IL7,0.000176585,0.333333333,3.121101526
MC2R,0.000171939,0.333333333,3.070338421
NOL3,0.000170911,0.333333333,3.058725946
UNC119,0.000169635,0.333333333,3.044127405
PLAUR,0.000172354,0.333333333,3.074983411
SNX3,0.000172473,0.333333333,3.076310551
GPX1,0.000173762,0.333333333,3.090577306
ZFR2,0.000163586,0.333333333,2.971798275
DOPEY2,0.000170969,0.333333333,3.059389516
PDE3B,0.000169291,0.333333333,3.040145985
F2,0.000170561,0.333333333,3.054744526
AMPD3,0.000170155,0.333333333,3.050099536
MMP3,0.000174581,0.333333333,3.099535501
ANXA3,0.000186532,0.333333333,3.221300597
PGD,0.000183587,0.333333333,3.192767087
ELAVL2,0.000175131,0.333333333,3.105507631
CDSN,0.000169233,0.333333333,3.039482415
GPRC5A,0.000174886,0.5,3.102853351
PCCA,0.000176367,0.333333333,3.118779031
CNP,0.000170213,0.333333333,3.050763106
PSMC3,0.000174368,0.333333333,3.097213006
CD69,0.00017094,0.333333333,3.059057731
CFI,0.000173641,0.333333333,3.089250166
RAB6B,0.000174764,0.333333333,3.101526211
DEGS1,0.000172861,0.333333333,3.080623756
FMO2,0.000174186,0.333333333,3.095222296
ABCC8,0.000173732,0.333333333,3.090245521
BBC3,0.000168265,0.333333333,3.028201725
HOXB2,0.000169895,0.333333333,3.04711347
CDK9,0.000174338,0.333333333,3.096881221
UQCR11,0.000173551,0.333333333,3.088254811
VDR,0.000172325,0.333333333,3.074651626
PPM1D,0.000167308,0.333333333,3.016921035
CDH17,0.00017762,0.333333333,3.132050431
MCF2L2,0.000171086,0.333333333,3.060716656
TMED9,0.000171438,0.333333333,3.064698076
CHRNA2,0.000176678,0.333333333,3.122096881
SEPT2,0.000166973,0.333333333,3.012939615
TIMP4,0.000180408,0.333333333,3.160915727
ZNF536,0.000178508,0.333333333,3.141340411
UTY,0.000165755,0.333333333,2.998341075
ALDH1A1,0.000172087,0.333333333,3.071997346
CTSH,0.000177336,0.333333333,3.129064366
CYP2C19,0.000172861,0.333333333,3.080623756
LGALS3BP,0.000169549,0.333333333,3.04313205
CYP4F2,0.000174125,0.333333333,3.094558726
MAP3K7,0.000180799,0.5,3.164897147
HLX,0.00017325,0.333333333,3.084936961
CAMKK2,0.000173822,0.333333333,3.091240876
HGFAC,0.000171262,0.333333333,3.062707366
CHI3L2,0.000170068,0.333333333,3.04910418
NBEAL2,0.000168606,0.333333333,3.032183145
T,0.000174825,0.333333333,3.102189781
KIAA0513,0.000176367,0.333333333,3.118779031
ITGA2B,0.000172354,0.333333333,3.074983411
TMEM159,0.000169205,0.333333333,3.03915063
FTO,0.000168805,0.333333333,3.03450564
KCNS3,0.000177085,0.333333333,3.126410086
LILRB4,0.000175193,0.333333333,3.106171201
B3GALT4,0.000168947,0.333333333,3.036164565
TCF15,0.000170619,0.333333333,3.055408096
CAPN3,0.00017452,0.333333333,3.098871931
PIEZO1,0.000169233,0.333333333,3.039482415
GRM2,0.000176741,0.333333333,3.122760451
HERPUD1,0.000172741,0.333333333,3.079296616
RBP4,0.000174338,0.333333333,3.096881221
COL18A1,0.000177715,0.333333333,3.133045786
PRPF18,0.000172592,0.333333333,3.077637691
SERPINI1,0.000172206,0.333333333,3.073324486
LTA,0.000173641,0.333333333,3.089250166
CBR1,0.000174581,0.333333333,3.099535501
TRHR,0.000175009,0.333333333,3.104180491
COX7A1,0.000174307,0.333333333,3.096549436
SRI,0.000173491,0.333333333,3.087591241
MCF2L,0.000170561,0.333333333,3.054744526
TRIP10,0.000172682,0.333333333,3.078633046
MPP2,0.000172622,0.333333333,3.077969476
HCRTR1,0.00017188,0.333333333,3.069674851
TRIM26,0.00017313,0.333333333,3.083609821
TESK2,0.000172921,0.333333333,3.081287326
IDS,0.000177462,0.333333333,3.130391506
CLIC5,0.00017452,0.333333333,3.098871931
BCHE,0.000177999,0.333333333,3.136031851
XPO7,0.00017313,0.333333333,3.083609821
ALDH7A1,0.000174611,0.333333333,3.099867286
DOK2,0.000178987,0.333333333,3.146317186
PTS,0.0001731,0.333333333,3.083278036
CST3,0.0001731,0.333333333,3.083278036
LRIT1,0.000170882,0.333333333,3.058394161
CYLD,0.000166806,0.333333333,3.010948905
BTBD2,0.000171939,0.333333333,3.070338421
BCKDHB,0.000176398,0.333333333,3.119110816
ZNF507,0.000175778,0.333333333,3.112475116
APLP1,0.000175623,0.333333333,3.110816191
BSG,0.000172414,0.333333333,3.075646981
MZF1,0.000170416,0.333333333,3.053085601
IKBKG,0.000172236,0.333333333,3.073656271
ACADL,0.00017304,0.333333333,3.082614466
CCS,0.000175994,0.333333333,3.114797611
HMGCR,0.000173521,0.333333333,3.087923026
SPRED2,0.000172921,0.333333333,3.081287326
MDH2,0.000170823,0.333333333,3.057730591
SV2A,0.000173521,0.5,3.087923026
SPINK4,0.000174277,0.333333333,3.096217651
NACAD,0.000169981,0.333333333,3.048108825
SLC12A5,0.000169549,0.333333333,3.04313205
GYPC,0.000183184,0.5,3.188785667
MBP,0.000179695,0.333333333,3.153616457
SKI,0.000176616,0.333333333,3.121433311
AQP3,0.000168919,0.333333333,3.03583278
TP53TG5,0.000172265,0.333333333,3.073988056
MICAL2,0.000177179,0.333333333,3.127405441
HLF,0.000178158,0.333333333,3.137690776
NLGN1,0.000179372,0.333333333,3.150298607
PMCH,0.000166806,0.333333333,3.010948905
MST1R,0.000172951,0.333333333,3.081619111
KRT13,0.00017001,0.333333333,3.04844061
ACO1,0.000178987,0.5,3.146317186
SLC22A6,0.000173883,0.333333333,3.091904446
KIAA0125,0.000164962,0.333333333,2.98871931
TNNC1,0.000171174,0.333333333,3.061712011
OSMR,0.000171969,0.333333333,3.070670206
LGALS9,0.000168577,0.333333333,3.03185136
CAPN1,0.00017584,0.333333333,3.113138686
TSN,0.000175623,0.333333333,3.110816191
PLA2G5,0.000174186,0.333333333,3.095222296
ACSM2A,0.000168947,0.333333333,3.036164565
DAAM2,0.00017298,0.333333333,3.081950896
UFD1L,0.00016835,0.333333333,3.02919708
MASP1,0.000175809,0.333333333,3.112806901
RPL12,0.000170184,0.333333333,3.050431321
BAG6,0.000172652,0.333333333,3.078301261
CACNA1B,0.000175131,0.333333333,3.105507631
LHX1,0.000177968,0.333333333,3.135700066
ERAL1,0.000168492,0.333333333,3.030856005
RFX3,0.000175346,0.333333333,3.107830126
C22orf31,0.000178158,0.333333333,3.137690776
HMOX2,0.00017138,0.333333333,3.064034506
HMGB2,0.000173762,0.333333333,3.090577306
TELO2,0.000172384,0.333333333,3.075315196
HIST1H1D,0.000168577,0.333333333,3.03185136
KANK3,0.000167645,0.333333333,3.020902455
KCND3,0.000177999,0.333333333,3.136031851
GLI1,0.000168719,0.333333333,3.033510285
FOXO1,0.000174551,0.333333333,3.099203716
GIMAP5,0.000170503,0.333333333,3.054080956
MMP7,0.000172087,0.333333333,3.071997346
GRM3,0.000172473,0.333333333,3.076310551
PSTPIP1,0.0001755,0.333333333,3.109489051
AHR,0.000180897,0.333333333,3.165892502
F5,0.000174978,0.333333333,3.103848706
CYP3A4,0.000171057,0.333333333,3.060384871
GTPBP10,0.000167168,0.333333333,3.01526211
DPYSL3,0.00017325,0.333333333,3.084936961
MGAT5,0.000183251,0.5,3.189449237
PI3,0.000171615,0.333333333,3.066688786
KCNJ4,0.000171615,0.333333333,3.066688786
TIE1,0.000171556,0.333333333,3.066025216
CDX2,0.000170445,0.333333333,3.053417386
GRB7,0.00017584,0.333333333,3.113138686
FMO4,0.00017819,0.333333333,3.138022561
DDX6,0.000176025,0.333333333,3.115129396
GNAI3,0.000171292,0.333333333,3.063039151
OXCT1,0.000170068,0.333333333,3.04910418
COL6A3,0.00017304,0.333333333,3.082614466
MBD3,0.000169262,0.333333333,3.0398142
TP53I3,0.000169463,0.333333333,3.042136695
ZNF423,0.000174125,0.333333333,3.094558726
IAH1,0.000168294,0.333333333,3.02853351
CGA,0.00017334,0.333333333,3.085932316
DAAM1,0.000179083,0.5,3.147312541
AXL,0.000174004,0.333333333,3.093231586
TSC22D4,0.00017059,0.333333333,3.055076311
TARBP2,0.000174368,0.333333333,3.097213006
ZNF593,0.000169952,0.333333333,3.04777704
SLC2A1,0.000181389,0.333333333,3.170869277
USH1C,0.000173913,0.333333333,3.092236231
DNPEP,0.000172325,0.333333333,3.074651626
IRF6,0.00017325,0.333333333,3.084936961
