gene name,Betweenness unDir,Stress unDir
PIK3CD,3585.59855,134532
SGMS1,4719.979876,179876
LEPR,594.0688704,23594
E2F6,470.2881828,22230
PPP2R2A,2135.664179,95124
BUB1,1891.640392,116790
POLE,703.6790703,33500
FHL2,1442.671155,43252
CTBP1,585.7208476,26328
INPP5B,1256.361659,45278
FEN1,3036.158162,160576
RNASEH2A,1669.001848,87844
ATF2,3088.478445,135216
CRKL,1885.996431,81880
TFAP2C,2180.702029,86838
DNAJC7,253.9631504,11092
IGBP1,864.236642,32660
PDK1,1668.203813,61432
RARA,2252.410524,81122
PIK3C2B,1689.384805,57086
SYNJ2,335.2311299,11984
NR3C1,3840.619552,150280
IL3RA,393.8865693,12796
TLK2,4436.469783,197370
CASP6,2294.888612,83390
CASP7,1505.715378,52712
CD86,1385.940886,53010
PTPN13,2228.856208,90972
NF1,1026.981357,40890
EIF4G2,1069.236199,44550
ZMYM2,1324.164995,64180
FCGR3B,161.6890253,3784
CCNE2,855.3782798,45796
CRADD,2773.335204,106788
INSR,1768.986025,72420
PPP1CA,2080.668827,79612
DAXX,1862.898135,72186
BIRC2,3521.890795,139858
OCRL,1398.508716,51530
RPS6KA5,2603.5,105238
CASP2,1674.530946,62976
NKX3-1,565.3326111,17226
KIF22,1884.984937,94050
FGFBP1,553.0900417,14174
OSBPL8,932.4056495,41812
MAST3,474.6996503,16398
CX3CL1,303.8835015,10338
NFAT5,1855.319089,71084
LYN,3601.401454,141892
GTSE1,486.1515918,24316
EIF4A1,2706.501509,112120
TRIM23,1741.606206,75456
PIP5K1C,802.793434,22818
DNA2,1281.066262,68026
SYNJ1,1468.549089,58874
SOCS5,1682.847199,65338
PPP2R5E,2803.037247,128092
SKP2,2670.867243,122914
UBE2A,1014.891094,44796
SOCS6,1101.720307,44156
EIF4G3,2056.42,81666
TP53BP1,2783.783802,118308
CENPF,3133.433131,159302
EIF4EBP1,629.6444383,19374
PNRC1,1704.52223,68476
CDK8,4169.7,187052
MYCBP2,2611.373799,107042
KAT6A,1751.836567,73096
NFYA,1130.517149,51366
BCR,1755.682784,65170
DCK,4181.275802,192792
TNIP1,1172.736308,35780
POLE3,1660.550909,80484
FRYL,666.5950892,27870
PKN1,1402.531079,52386
GTF2F1,1478.890832,54054
UBXN7,1968.807753,82292
SUPT5H,2368.768971,71914
TCERG1,6209.251843,283680
PAQR4,299.028782,12056
TGFA,2311.734468,81544
BCL2,1970.186318,79612
PRDM1,2600.96647,91724
PRIM2,491.2479158,31604
USP1,4865.704367,232286
DBF4,3271.081424,157042
HSP90AB1,1044.931168,48694
EED,3135.67842,135484
ORC2,3516.124305,164004
TRAF1,1132.442902,37852
FEZ1,619.3953735,21188
EPHA2,1278.1601,41994
CSE1L,4360.677273,218798
FLI1,5193.027977,204618
TRADD,717.4545114,25756
MAP3K3,3676.880735,136346
JUNB,424.5252458,15704
PKNOX1,584.0283582,22744
ARHGAP11A,1310.580295,63600
WIPF1,2699.408531,108294
RFC2,1856.807662,88900
TMEM106C,878.0788653,44624
YTHDF3,1159.034971,56928
ABI1,761.1698167,33382
HDAC1,6367.921151,268852
UBE2C,1860.642915,104530
TRAPPC8,3303.628496,141950
BTK,3206.769355,119966
COPS6,701.7492528,25998
TEX30,233.6692174,14562
JUND,597.8321543,21094
SIK1,1141.928294,56838
DHCR24,742.2743232,25646
RPP30,1385.940054,68688
UBXN2B,276.0935105,13198
POLR2B,6968.78825,314950
BID,957.6642034,39254
CDKN1A,3035.866404,123852
KMT2A,3012.847814,120150
RSBN1,2014.857637,90272
PTN,1432.022594,52514
KDM5A,492.5771827,22448
TBP,2786.349742,157496
IGF1R,3269.847576,136158
BRSK2,748.7055197,32950
C6orf62,340.8486993,17466
CDKN1B,1751.752328,85674
FAM208A,966.8292016,46308
BIK,814.6349149,32636
SP110,1217.620838,44404
HSP90AA1,4544.062951,197400
RB1,3391.565055,154418
TYR,1066.497246,42370
